Grouping,Group,Predictor,beta,se,z,p,Sig
Pell eligibility,Pell,Meritocratic Beliefs,0.07664124131993202,0.060835269478136805,1.259815925488349,0.20773577341100213,No
Pell eligibility,Pell,STEM Identity,-0.07323915187628796,0.07718466008944967,-0.9488822233771679,0.3426805167098945,No
Pell eligibility,Pell,Growth Mindset,0.11467918472709854,0.07669798520692782,1.495204657823789,0.1348610383054265,No
Pell eligibility,Non-Pell,Meritocratic Beliefs,-0.13717680166692214,0.08227026477264003,-1.6673922473207106,0.09543643443402017,No
Pell eligibility,Non-Pell,STEM Identity,0.043769838759746375,0.10365766643339779,0.4222537537816309,0.6728398098174162,No
Pell eligibility,Non-Pell,Growth Mindset,0.022640736905606477,0.10079100649954995,0.2246305269876194,0.8222667146210674,No
Generation status,First-Gen,Meritocratic Beliefs,-0.030883923236536968,0.05949186552995459,-0.5191285054086375,0.6036711313519543,No
Generation status,First-Gen,STEM Identity,-0.024886631324156593,0.07687992056442434,-0.3237078178729637,0.7461592514913478,No
Generation status,First-Gen,Growth Mindset,0.08556829475588548,0.07613804010715966,1.123857333803882,0.2610735540882225,No
Generation status,Later-Gen,Meritocratic Beliefs,-0.011989759930186757,0.10680453355542958,-0.11225890447772324,0.9106181252538763,No
Generation status,Later-Gen,STEM Identity,-0.004694386285369857,0.12257253541335034,-0.03829884296297713,0.9694494132928242,No
Generation status,Later-Gen,Growth Mindset,0.04167633463160355,0.12069377732874256,0.34530640728963713,0.7298640302645878,No
Gender,Female,Meritocratic Beliefs,0.0070604379579347,0.0711690710803806,0.09920654928824935,0.9209742749338612,No
Gender,Female,STEM Identity,-0.14163368242040483,0.08912047323189178,-1.5892384463878857,0.11200656958487953,No
Gender,Female,Growth Mindset,0.18428183189734756,0.08712028454087475,2.1152574612045365,0.03440800991516357,Yes
Gender,Male,Meritocratic Beliefs,-0.040973665093063126,0.0683625840192756,-0.5993580506188904,0.5489341445294444,No
Gender,Male,STEM Identity,0.09169520136988839,0.08523775584341253,1.0757580424611204,0.28203548147369406,No
Gender,Male,Growth Mindset,-0.015791938521923555,0.08534744452449157,-0.1850311817759447,0.8532045783137809,No
